,Date,BTC_dc,ETH_dc,XRP_dc,S&P500_dc,Nifty50_dc,gold_dc,usd_dc
0,2015-08-10,-0.0023178681474928958,0.00924692815830002,-0.006604507183402825,0.012646256498968564,-0.004574458102655532,0.009146871443757278,-0.0040999999999999995
1,2015-08-11,0.021879777083722723,0.3365722211077446,-0.018569036240755572,-0.009649387976411383,-0.007474283148298049,0.003069722890640361,0.0013
2,2015-08-12,-0.015053830455688873,0.12286437172335776,-0.038632135521272884,0.0009491622923707572,-0.013521848744528038,0.013888867236960986,-0.0106
3,2015-08-13,-0.008694413149646965,0.33388411273521434,-0.015210160805345334,-0.0012767652719847505,0.0007659304559080927,-0.006722237455758389,0.0019
4,2015-08-14,0.006022305584252892,0.00010943512756712846,0.022740251720150255,0.003896650315078885,0.01909949463230232,-0.002515883672943496,0.0008
5,2015-08-17,-0.002058235319029653,-0.30111090730237017,-0.0016153961534985497,0.005184452350602201,-0.004865936088141272,0.00509561248193692,0.003
6,2015-08-18,-0.22217757142507027,-0.10722596612111458,-0.0992605312313852,-0.002632432329321091,-0.0012697025352711555,-0.001342762538918898,0.0024
7,2015-08-19,0.06884037069828458,0.13648065076761234,0.02663279633077631,-0.00832367607387921,0.003366626840020525,0.009750908814840717,-0.006999999999999999
8,2015-08-20,0.03682175543432654,0.14066300257799072,0.014414492114752231,-0.021554921330431888,-0.01461885282613235,0.02159585776235909,-0.0039000000000000003
9,2015-08-21,-0.011957766755051474,-0.04990362287594191,0.0011268067018993877,-0.03289884265484117,-0.008771137175525065,0.0056915972202468985,-0.0101
10,2015-08-24,-0.08396404494382022,-0.09853242067373627,-0.020949925965956795,-0.0410308417977932,-0.06286976565501354,-0.005375370097963462,-0.0177
11,2015-08-25,0.05015138707160674,-0.07988137933947521,-0.03802894423166762,-0.013707358602706205,0.00909817655791996,-0.01335448396975021,0.0129
12,2015-08-26,0.018695397180822117,0.017060684120988,0.04882570775767489,0.037567443610185,-0.011402940251673151,-0.012093166717264884,0.006
13,2015-08-27,-0.00472483515621121,-0.010699753469320967,0.007875349080090428,0.023721360796112055,0.019763616578290146,-0.0019600427235913344,0.0054
14,2015-08-28,0.028639211625261923,0.036663424727987524,-0.015964433932641325,0.0006083856662324884,0.006623385549772243,0.009443078480834722,0.0052
15,2015-08-31,0.005629056274644161,0.02869153710067008,-0.021157695713124196,-0.008462716384914068,-0.003845044095693254,-0.001325556761941819,-0.003
16,2015-09-01,-0.008482329728327593,-0.00490530798475868,-0.008788310694696657,-0.030477832641011657,-0.023818850864067483,0.006235158782403501,-0.0039000000000000003
17,2015-09-02,0.005072287652442273,-0.04388349807751904,-0.014915321722783781,0.017964348388288535,-0.008921860826746193,-0.005474570419426098,0.004
18,2015-09-03,-0.009248042050781585,-0.02360606472414198,-0.036259113000740126,0.0011634283722766854,0.013549789083471814,-0.007831315639169183,0.0060999999999999995
19,2015-09-04,0.013525976938688147,0.007438735942459707,-0.01028954911893038,-0.015568232685481144,-0.021939765253002896,-0.0027663529059366015,-0.0019
20,2015-09-08,0.015434673838342156,-0.0033965768262501275,-0.011019680804562206,0.024469257290254467,0.016837381718856674,-0.00017846483016492625,-0.0026
21,2015-09-09,-0.02283680166124062,-0.029771842316211963,-0.02000025108953712,-0.014093427529814071,0.01667178267208968,-0.016512496651344865,0.0003
22,2015-09-10,0.0012957464695533955,-0.034946766541352925,-0.0019849314635567885,0.0052502445845647935,-0.003916231173200138,0.006579584497521356,-0.005699999999999999
23,2015-09-11,0.006788597002526492,-0.1859574375710739,0.09255643356791408,0.004466994722215135,0.0001540574891196665,-0.005437245129134572,-0.0028000000000000004
24,2015-09-14,0.0005723269878538465,-0.0689579026553147,-0.15231953600161263,-0.004106439737228809,0.01053701292514844,0.003791596267751442,0.0006
25,2015-09-15,-0.001476293666758474,0.07283706198167184,0.040871520238110186,0.012668786556728939,-0.005511489187773772,-0.004443146338670603,0.0038
26,2015-09-16,-0.005294827899943172,-0.041045025940101725,-0.03957762975070969,0.008630237907894025,0.00886804276409478,0.014653236881709004,-0.002
27,2015-09-18,0.013585184942609666,-0.024067377261640426,0.02086198489350799,-0.016429778910435525,0.010367205803129581,0.01827601040209496,0.0033
28,2015-09-21,-0.018173806193058525,-0.02110661811201079,-0.05386184477875871,0.004545061693874362,-0.0006017224304570925,-0.004412673290887088,0.0109
29,2015-09-22,0.01531966091079393,-0.01912962025631037,-0.011042818834886899,-0.012472075522200612,-0.021134152585765537,-0.0071999786666666395,0.0040999999999999995
30,2015-09-23,-0.0014546946502898555,-0.009391037947169448,-0.07487735978708875,-0.002052858528131392,0.004327073203372418,0.0058324285436357854,-0.0022
31,2015-09-24,0.018104379719758364,-0.09807641857271344,0.006179136594827226,-0.00337432203038959,0.002865857533202031,0.019240832082855958,0.006500000000000001
32,2015-09-28,0.02669959502080396,-0.23667243264380208,-0.03855884209674507,-0.026342220356366578,-0.009338481470554303,-0.012367491166077738,-0.0025
33,2015-09-29,-0.010372356182524743,0.11837023332364784,-0.1279987427349978,0.0012313636822019842,0.006068874070863076,-0.004347461719757885,-0.0018
34,2015-09-30,-0.0026560997536719737,0.10491930935033517,-0.010720677212601884,0.018718457524101215,0.01328485702424228,-0.010398902734199883,0.0051
35,2015-10-01,0.006268173885540154,-0.07016511216086238,-0.01319684299352368,0.001970038777016542,0.0002515438503817178,-0.001166800446215371,-0.0017000000000000001
36,2015-10-05,0.008835870085452724,-0.0632092204717623,-0.04566280829577832,0.01796129941370376,0.02074070424790321,0.0008786574300041985,0.0029
